City,Beach,Date,Enterococcus
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-06-24,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-07-01,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-07-08,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-07-15,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-07-22,31
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-07-29,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-08-05,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-08-12,14
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-08-19,8
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-08-26,97
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-09-02,15
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-09-09,21
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-09-16,3
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-09-23,2
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-09-30,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-10-07,104
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-10-14,19
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-10-21,6
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-10-28,17
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-11-04,19
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-11-11,5
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-11-18,107
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-11-25,4
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-12-02,16
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-12-09,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-12-16,4
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-12-23,23
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-12-30,6
BERTIOGA,ENSEADA - R. RAFAEL COSTABILI,2018-01-07,110
BERTIOGA,ENSEADA - R. RAFAEL COSTABILI,2018-01-14,15
